smiles,pka_value,filtered,filter_version
C(C)(=O)NC1=CC=C(C=C1)[C@H]1[C@@H](C1)C(=O)O,4.57,True,1.0
C(C)(=O)NC=1C=CC(=C(C1)\C=C/C(=O)O)O,3.68,True,1.0
C(C)(C)(C)[C@@H]1C[C@@H](NCC1)C(=O)O,2.4,True,1.0
C(C)(C)(C)[C@H]1C[C@@H](NCC1)C(=O)O,2.59,True,1.0
C(C)OC(=O)/C=C/C(=O)O,3.396,True,1.0
C(C)OC(=O)\C=C/C(=O)O,3.077,True,1.0
C(C)[C@@]1([C@@](C1)(C(=O)O)CC)C(=O)O,3.53,True,1.0
C(C)[C@@]1([C@](C1)(C(=O)O)CC)C(=O)O,4.16,True,1.0
C(CCNC1CCNCC1)CNC1CCNCC1,11.4,True,1.0
C(CCNCC1CCNCC1)CNCC1CCNCC1,10.93,True,1.0
C(CCNCCC1CCNCC1)CNCCC1CCNCC1,10.93,True,1.0
C(CN1CCOCC1)CN1CCOCC1,7.25,True,1.0
C(CNC1CCNCC1)CNC1CCNCC1,11.18,True,1.0
C(N)(=O)C=1C=C(C(=CC1)O)\C=C/C(=O)O,3.63,True,1.0
C(\C=C/C=CC)(=O)O,4.49,True,1.0
C(\C=C/CC)(=O)O,4.7,True,1.0
C(\C=C/CCC)(=O)O,4.63,True,1.0
C(\C=C/CCCC)(=O)O,4.12,True,1.0
C(\C=C\C#C)(=O)O,3.75,True,1.0
C(\C=C\C#CC)(=O)O,4.2,True,1.0
C(\C=C\C=CC)(=O)O,4.51,True,1.0
C(\C=C\CC)(=O)O,4.74,True,1.0
C(\C=C\CCC)(=O)O,4.75,True,1.0
C(\C=C\CCCC)(=O)O,4.88,True,1.0
C/C(=C/C(=O)O)C(=O)O,2.2,True,1.0
C/C(=C\c1ccccc1)C(=O)Nc1ccccc1C(=O)O,3.5,True,1.0
C/C(=N/OCC(O)CNC(C)(C)C)C(C)C,9.27,True,1.0
C/C(=N\N/C(S)=N/N=C(\S)N(C)C)c1ccccn1,4.1,True,1.0
C/C(=N\N=C(/S)N/N=C(\S)Nc1ccc(C(F)(F)F)cc1)c1ccccn1,3.87,True,1.0
C/C(=N\N=C(/S)N/N=C(\S)Nc1cccc(C(F)(F)F)c1)c1ccccn1,3.89,True,1.0
C/C(=N\N=C(/S)N/N=C(\S)Nc1cccc(Cl)c1Cl)c1ccccn1,3.86,True,1.0
C/C(=N\N=C(/S)N/N=C(\S)Nc1cccc(I)c1)c1ccccn1,3.8,True,1.0
C/C(=N\N=C(/S)N/N=C(\S)Nc1ccccc1Cl)c1ccccn1,3.94,True,1.0
C/C(=N\N=C(/S)N/N=C(\S)Nc1ccccn1)c1ccccn1,2.09,True,1.0
C/C(=N\N=C(N)N)[C@H]1CC[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,9.49,True,1.0
C/C(=N\NC(N)=O)C(=O)O,0.59,True,1.0
C/C(=N\O)c1ccccc1,11.35,True,1.0
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(-c3ccccc3)cc1)[C@H](O)C2)N(C)Cc1ccc(F)cc1,8.3,True,1.0
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)NCc1ccc(F)cc1,8.49,True,1.0
C/C(=N\c1ccc2c(c1)[C@@H](NC(=O)c1ccc(Br)cc1)[C@H](O)C2)Nc1ccc(F)cc1,8.2,True,1.0
C/C(Cl)=C/C(=O)O,3.91,True,1.0
C/C=C(/C)C(=O)O[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@@]42O[C@]13O,9.05,True,1.0
C/C=C/C(=O)NO,8.9,True,1.0
C/C=C/C(=O)O,-4.03,True,1.0
C/C=C/C=C/C(=O)O,4.5,True,1.0
C/C=C/C=O,-4.32,True,1.0
C/C=C/CN(C1=NCCN1)c1c(Br)cccc1Br,11.0,True,1.0
C/C=C/COc1noc2c1CNCC2.Cl,7.7,True,1.0
C/C=C/c1ccc(OC)c(O)c1,9.9,True,1.0
C/C=C/c1cccc(OC)c1O,10.2,True,1.0
C/C=C\C(=O)O,4.42,True,1.0
